customer_key,recency,frequency,monetary,r,f,m,rfm_score,Segment
11177,107,2,135.25,3,2,2,322,Needs Attention
11178,248,2,144.76,2,2,2,222,Needs Attention
11179,20,2,125.44,4,2,2,422,Recent Customers
11180,126,2,138.45,3,2,2,322,Needs Attention
11181,202,2,41.28,2,2,1,221,Needs Attention
11182,24,2,81.26,4,2,2,422,Recent Customers
11183,230,2,46.27,2,2,1,221,Needs Attention
11184,112,2,68.25,3,2,2,322,Needs Attention
11185,3,27,1616.31,4,4,3,443,Loyal Customers
11186,22,2,41.28,4,2,1,421,Recent Customers
11187,176,2,107.47999999999999,2,2,2,222,Needs Attention
11188,8,2,81.26,4,2,2,422,Recent Customers
11189,358,2,5944.219999999999,1,2,4,124,Almost Lost
11190,13,2,46.27,4,2,1,421,Recent Customers
11191,84,3,6743.58,4,3,4,434,Loyal Customers
11192,126,2,113.96000000000001,3,2,2,322,Needs Attention
11193,164,2,41.28,3,2,1,321,Needs Attention
11194,52,2,105.75,4,2,2,422,Recent Customers
11195,99,2,105.75,3,2,2,322,Needs Attention
11196,127,2,162.28,3,2,2,322,Needs Attention
11197,193,2,207.56,2,2,2,222,Needs Attention
11198,350,2,98.47,1,2,2,122,Almost Lost
11199,104,2,131.75,3,2,2,322,Needs Attention
11200,9,27,1463.3799999999999,4,4,3,443,Loyal Customers
11201,142,2,180.94,3,2,2,322,Needs Attention
11202,130,2,73.98,3,2,2,322,Needs Attention
11203,49,17,801.77,4,4,3,443,Loyal Customers
11204,80,2,77.27000000000001,4,2,2,422,Recent Customers
11205,113,2,37.29,3,2,1,321,Needs Attention
11206,244,2,77.27000000000001,2,2,2,222,Needs Attention
11207,103,2,77.27000000000001,3,2,2,322,Needs Attention
11208,134,2,134.23,3,2,2,322,Needs Attention
11209,7,2,37.29,4,2,1,421,Recent Customers
11210,145,2,70.75999999999999,3,2,2,322,Needs Attention
11211,22,17,793.55,4,4,3,443,Loyal Customers
11212,12,17,827.19,4,4,3,443,Loyal Customers
11213,142,2,77.27000000000001,3,2,2,322,Needs Attention
11214,71,2,162.28,4,2,2,422,Recent Customers
11215,45,17,1155.52,4,4,3,443,Loyal Customers
11216,358,2,5948.24,1,2,4,124,Almost Lost
11217,349,2,5953.25,1,2,4,124,Almost Lost
11218,25,2,39.58,4,2,1,421,Recent Customers
11219,5,2,39.58,4,2,1,421,Recent Customers
11220,47,2,50.230000000000004,4,2,2,422,Recent Customers
11221,104,2,46.27,3,2,1,321,Needs Attention
11222,62,2,207.95999999999998,4,2,2,422,Recent Customers
11223,23,27,1205.38,4,4,3,443,Loyal Customers
11224,57,3,6685.589999999999,4,3,4,434,Loyal Customers
11225,145,2,73.25000000000001,3,2,2,322,Needs Attention
11226,304,2,37.29,1,2,1,121,Almost Lost
11227,353,2,5910.219999999999,1,2,4,124,Almost Lost
11228,12,2,77.27000000000001,4,2,2,422,Recent Customers
11229,4,2,81.26,4,2,2,422,Recent Customers
11230,51,2,54.22,4,2,2,422,Recent Customers
11231,78,2,64.26,4,2,2,422,Recent Customers
11232,77,2,39.58,4,2,1,421,Recent Customers
11233,235,2,179.42999999999998,2,2,2,222,Needs Attention
11234,132,2,76.27000000000001,3,2,2,322,Needs Attention
11235,24,2,138.45,4,2,2,422,Recent Customers
11236,23,2,113.96000000000001,4,2,2,422,Recent Customers
11237,65,4,10566.38,4,4,4,444,Champions
11238,274,4,7542.7699999999995,1,4,4,144,Almost Lost
11239,246,4,7511.549999999999,2,4,4,244,Loyal Customers
11240,261,4,7586.23,2,4,4,244,Loyal Customers
11241,92,7,11469.1882,3,4,4,344,Loyal Customers
11242,56,7,11068.0082,4,4,4,444,Champions
11243,234,4,7164.249999999999,2,4,4,244,Loyal Customers
11244,194,4,7175.75,2,4,4,244,Loyal Customers
11245,49,4,10580.349999999999,4,4,4,444,Champions
11246,40,4,10575.329999999998,4,4,4,444,Champions
11247,165,4,7131.509999999999,3,4,4,344,Loyal Customers
11248,199,1,38.47,2,1,1,211,Needs Attention
11249,136,4,9890.27,3,4,4,344,Loyal Customers
11250,176,4,7116.25,2,4,4,244,Loyal Customers
11251,103,1,2318.9599999999996,3,1,3,313,Needs Attention
11252,42,3,6685.5599999999995,4,3,4,434,Loyal Customers
11253,57,16,696.61,4,4,3,443,Loyal Customers
11254,46,2,203.92,4,2,2,422,Recent Customers
11255,304,2,113.96000000000001,1,2,2,122,Almost Lost
11256,105,2,81.26,3,2,2,322,Needs Attention
11257,46,3,6677.38,4,3,4,434,Loyal Customers
11258,198,2,49.230000000000004,2,2,1,221,Needs Attention
11259,40,3,6770.599999999999,4,3,4,434,Loyal Customers
11260,220,2,81.26,2,2,2,222,Needs Attention
11261,37,3,6650.599999999999,4,3,4,434,Loyal Customers
11262,7,27,1126.82,4,4,3,443,Loyal Customers
11263,50,3,6754.0599999999995,4,3,4,434,Loyal Customers
11264,60,2,3182.27,4,2,4,424,Big Spender
11265,391,1,2351.9599999999996,1,1,3,113,Lost Customers
11266,374,2,5922.23,1,2,4,124,Almost Lost
11267,387,2,5943.23,1,2,4,124,Almost Lost
11268,74,2,98.25,4,2,2,422,Recent Customers
11269,141,2,42.28,3,2,1,321,Needs Attention
11270,387,2,5984.219999999999,1,2,4,124,Almost Lost
11271,372,2,5973.24,1,2,4,124,Almost Lost
11272,381,2,5975.23,1,2,4,124,Almost Lost
11273,251,2,273.23,2,2,3,223,Needs Attention
11274,339,2,5888.24,1,2,4,124,Almost Lost
11275,382,2,5955.23,1,2,4,124,Almost Lost
11276,7,27,988.32,4,4,3,443,Loyal Customers
11277,13,27,1434.99,4,4,3,443,Loyal Customers
11278,391,2,5908.25,1,2,4,124,Almost Lost
11279,221,2,44.57,2,2,1,221,Needs Attention
11280,174,2,77.27000000000001,2,2,2,222,Needs Attention
11281,383,2,5921.19,1,2,4,124,Almost Lost
11282,392,2,5998.73,1,2,4,124,Almost Lost
11283,154,2,44.57,3,2,1,321,Needs Attention
11284,272,2,55.480000000000004,1,2,2,122,Almost Lost
11285,95,2,127.76,3,2,2,322,Needs Attention
11286,374,2,5954.219999999999,1,2,4,124,Almost Lost
11287,1,27,1167.07,4,4,3,443,Loyal Customers
11288,161,2,77.27000000000001,3,2,2,322,Needs Attention
11289,378,2,5905.48,1,2,4,124,Almost Lost
11290,367,2,5933.25,1,2,4,124,Almost Lost
11291,375,2,5873.26,1,2,4,124,Almost Lost
11292,394,2,5910.219999999999,1,2,4,124,Almost Lost
11293,320,2,85.22,1,2,2,122,Almost Lost
11294,26,2,42.28,4,2,1,421,Recent Customers
11295,385,2,6058.25,1,2,4,124,Almost Lost
11296,365,2,5897.53,1,2,4,124,Almost Lost
11297,343,2,5948.24,1,2,4,124,Almost Lost
11298,342,2,5922.23,1,2,4,124,Almost Lost
11299,339,2,6015.24,1,2,4,124,Almost Lost
11300,29,27,1500.52,4,4,3,443,Loyal Customers
11301,110,2,131.26,3,2,2,322,Needs Attention
11302,361,2,5938.19,1,2,4,124,Almost Lost
11303,340,2,5875.549999999999,1,2,4,124,Almost Lost
11304,282,2,122.21000000000001,1,2,2,122,Almost Lost
11305,178,2,77.27000000000001,2,2,2,222,Needs Attention
11306,144,2,42.28,3,2,1,321,Needs Attention
11307,355,2,5964.219999999999,1,2,4,124,Almost Lost
11308,14,2,94.26,4,2,2,422,Recent Customers
11309,24,2,42.28,4,2,1,421,Recent Customers
11310,36,2,77.27000000000001,4,2,2,422,Recent Customers
11311,138,2,77.27000000000001,3,2,2,322,Needs Attention
11312,241,2,42.28,2,2,1,221,Needs Attention
11313,64,2,44.57,4,2,1,421,Recent Customers
11314,57,2,47.53,4,2,1,421,Recent Customers
11315,43,2,42.28,4,2,1,421,Recent Customers
11316,382,1,2349.9799999999996,1,1,3,113,Lost Customers
11317,345,2,5873.26,1,2,4,124,Almost Lost
11318,82,2,44.57,4,2,1,421,Recent Customers
11319,339,2,5930.23,1,2,4,124,Almost Lost
11320,163,2,72.21000000000001,3,2,2,322,Needs Attention
11321,246,2,37.29,2,2,1,221,Needs Attention
11322,253,2,44.57,2,2,1,221,Needs Attention
11323,364,2,6074.54,1,2,4,124,Almost Lost
11324,358,2,5945.23,1,2,4,124,Almost Lost
11325,363,2,6044.2,1,2,4,124,Almost Lost
11326,343,2,5948.24,1,2,4,124,Almost Lost
11327,362,2,5915.54,1,2,4,124,Almost Lost
11328,297,2,4718.04,1,2,4,124,Almost Lost
11329,353,2,5898.26,1,2,4,124,Almost Lost
11330,7,27,1136.3500000000001,4,4,3,443,Loyal Customers
11331,5,27,1329.31,4,4,3,443,Loyal Customers
11332,388,2,5754.969999999999,1,2,4,124,Almost Lost
11333,199,3,8163.3099999999995,2,3,4,234,Loyal Customers
11334,186,3,8154.0199999999995,2,3,4,234,Loyal Customers
11335,390,2,5744.25,1,2,4,124,Almost Lost
11336,389,2,4441.3796,1,2,4,124,Almost Lost
11337,194,3,8162.0,2,3,4,234,Loyal Customers
11338,395,2,5744.949999999999,1,2,4,124,Almost Lost
11339,369,2,4379.0782,1,2,4,124,Almost Lost
11340,392,2,4413.0581999999995,1,2,4,124,Almost Lost
11341,194,3,8192.0,2,3,4,234,Loyal Customers
11342,201,1,48.97,2,1,1,211,Needs Attention
11343,189,3,8221.99,2,3,4,234,Loyal Customers
11344,190,3,8119.8099999999995,2,3,4,234,Loyal Customers
11345,394,2,4404.0882,1,2,4,124,Almost Lost
11346,352,2,4503.048199999999,1,2,4,124,Almost Lost
11347,319,1,13.98,1,1,1,111,Lost Customers
11348,304,1,67.97,1,1,2,112,Lost Customers
11349,16,1,67.97,4,1,2,412,Recent Customers
11350,358,1,38.47,1,1,1,111,Lost Customers
11351,154,3,8068.03,3,3,4,334,Loyal Customers
11352,273,1,13.98,1,1,1,111,Lost Customers
11353,174,3,8078.0199999999995,2,3,4,234,Loyal Customers
11354,57,1,22.97,4,1,1,411,Recent Customers
11355,125,1,13.98,3,1,1,311,Needs Attention
11356,90,3,5069.29,3,3,4,334,Loyal Customers
11357,92,3,4943.8,3,3,4,334,Loyal Customers
11358,76,3,5034.78,4,3,4,434,Loyal Customers
11359,56,3,4960.07,4,3,4,434,Loyal Customers
11360,38,3,5025.8,4,3,4,434,Loyal Customers
11361,66,2,114.96000000000001,4,2,2,422,Recent Customers
11362,127,2,77.27,3,2,2,322,Needs Attention
11363,42,3,5035.8099999999995,4,3,4,434,Loyal Customers
11364,34,3,4921.82,4,3,4,434,Loyal Customers
11365,38,3,5024.79,4,3,4,434,Loyal Customers
11366,167,2,77.27,3,2,2,322,Needs Attention
11367,65,2,86.26,4,2,2,422,Recent Customers
11368,59,3,5106.24,4,3,4,434,Loyal Customers
11369,33,2,118.96000000000001,4,2,2,422,Recent Customers
11370,120,2,79.97,3,2,2,322,Needs Attention
11371,32,2,74.98,4,2,2,422,Recent Customers
11372,46,3,4965.8099999999995,4,3,4,434,Loyal Customers
11373,155,1,38.47,3,1,1,311,Needs Attention
11374,289,1,68.97,1,1,2,112,Lost Customers
11375,104,1,13.98,3,1,1,311,Needs Attention
11376,106,1,78.48,3,1,2,312,Needs Attention
11377,335,1,83.97,1,1,2,112,Lost Customers
11378,349,2,4436.3896,1,2,4,124,Almost Lost
11379,337,2,4426.0581999999995,1,2,4,124,Almost Lost
11380,360,2,5837.91,1,2,4,124,Almost Lost
11381,164,3,8161.0199999999995,3,3,4,334,Loyal Customers
11382,347,2,4344.0882,1,2,4,124,Almost Lost
11383,28,1,48.97,4,1,1,411,Recent Customers
11384,180,1,48.97,2,1,1,211,Needs Attention
11385,207,1,13.98,2,1,1,211,Needs Attention
11386,88,1,68.97,3,1,2,312,Needs Attention
11387,303,3,6958.799999999999,1,3,4,134,Almost Lost
11388,278,3,6986.749999999999,1,3,4,134,Almost Lost
11389,73,1,68.97,4,1,2,412,Recent Customers
11390,83,1,48.97,4,1,1,411,Recent Customers
11391,95,1,33.98,3,1,1,311,Needs Attention
11392,306,1,28.99,1,1,1,111,Lost Customers
11393,197,1,13.98,2,1,1,211,Needs Attention
11394,180,3,8161.969999999999,2,3,4,234,Loyal Customers
11395,343,2,5729.969999999999,1,2,4,124,Almost Lost
11396,95,1,28.99,3,1,1,311,Needs Attention
11397,206,1,38.47,2,1,1,211,Needs Attention
11398,180,3,8114.039999999999,2,3,4,234,Loyal Customers
11399,291,1,13.98,1,1,1,111,Lost Customers
11400,194,3,6967.779999999999,2,3,4,234,Loyal Customers
11401,327,3,5020.8696,1,3,4,134,Almost Lost
11402,302,3,5059.3296,1,3,4,134,Almost Lost
11403,246,3,5033.1396,2,3,4,234,Loyal Customers
11404,353,1,33.98,1,1,1,111,Lost Customers
11405,304,1,53.99,1,1,2,112,Lost Customers
11406,354,2,4415.038199999999,1,2,4,124,Almost Lost
11407,220,1,53.99,2,1,2,212,Needs Attention
11408,330,1,34.47,1,1,1,111,Lost Customers
11409,366,2,4444.0682,1,2,4,124,Almost Lost
11410,359,2,4464.0682,1,2,4,124,Almost Lost
11411,178,1,38.47,2,1,1,211,Needs Attention
11412,110,4,9879.96,3,4,4,344,Loyal Customers
11413,146,4,7189.749999999999,3,4,4,344,Loyal Customers
11414,136,4,7191.7699999999995,3,4,4,344,Loyal Customers
11415,166,1,13.98,3,1,1,311,Needs Attention
11416,269,3,4928.0581999999995,1,3,4,134,Almost Lost
11417,45,7,11248.4582,4,4,4,444,Champions
11418,43,1,39.980000000000004,4,1,1,411,Recent Customers
11419,216,2,231.75,2,2,2,222,Needs Attention
11420,61,7,11200.7696,4,4,4,444,Champions
11421,112,4,9780.04,3,4,4,344,Loyal Customers
11422,87,4,7075.2699999999995,4,4,4,444,Champions
11423,101,4,9904.97,3,4,4,344,Loyal Customers
11424,283,1,43.980000000000004,1,1,1,111,Lost Customers
11425,39,6,10528.6282,4,4,4,444,Champions
11426,295,1,34.99,1,1,1,111,Lost Customers
11427,101,4,9917.99,3,4,4,344,Loyal Customers
11428,99,4,9954.26,3,4,4,344,Loyal Customers
11429,36,6,10468.3796,4,4,4,444,Champions
11430,316,1,84.98,1,1,2,112,Lost Customers
11431,121,4,9912.98,3,4,4,344,Loyal Customers
11432,35,6,9330.1996,4,4,4,444,Champions
11433,137,6,12909.6682,3,4,4,344,Loyal Customers
11434,198,2,70.46,2,2,2,222,Needs Attention
11435,25,1,34.99,4,1,1,411,Recent Customers
11436,224,2,81.76,2,2,2,222,Needs Attention
11437,41,1,53.99,4,1,2,412,Recent Customers
11438,358,1,34.99,1,1,1,111,Lost Customers
11439,101,6,12489.1696,3,4,4,344,Loyal Customers
11440,308,1,78.48,1,1,2,112,Lost Customers
11441,21,1,43.980000000000004,4,1,1,411,Recent Customers
11442,122,1,34.99,3,1,1,311,Needs Attention
11443,120,3,8235.0,3,3,4,334,Loyal Customers
11444,241,3,8136.0199999999995,2,3,4,234,Loyal Customers
11445,215,3,8098.029999999999,2,3,4,234,Loyal Customers
11446,222,3,8237.009999999998,2,3,4,234,Loyal Customers
11447,243,3,8078.0199999999995,2,3,4,234,Loyal Customers
11448,222,3,8132.009999999999,2,3,4,234,Loyal Customers
11449,219,3,8130.32,2,3,4,234,Loyal Customers
11450,226,3,8173.26,2,3,4,234,Loyal Customers
11451,238,3,8249.49,2,3,4,234,Loyal Customers
11452,231,3,8183.039999999999,2,3,4,234,Loyal Customers
11453,224,3,8176.98,2,3,4,234,Loyal Customers
11454,225,3,8089.039999999999,2,3,4,234,Loyal Customers
11455,243,3,8142.03,2,3,4,234,Loyal Customers
11456,243,3,8224.46,2,3,4,234,Loyal Customers
11457,242,3,8211.48,2,3,4,234,Loyal Customers
11458,11,3,96.89,4,3,2,432,Loyal Customers
11459,225,3,8141.33,2,3,4,234,Loyal Customers
11460,233,3,8137.5199999999995,2,3,4,234,Loyal Customers
11461,192,3,8089.039999999999,2,3,4,234,Loyal Customers
11462,188,3,8116.33,2,3,4,234,Loyal Customers
11463,47,3,47.92,4,3,1,431,Recent Customers
11464,212,3,8128.509999999999,2,3,4,234,Loyal Customers
11465,200,3,8158.039999999999,2,3,4,234,Loyal Customers
11466,161,3,90.19,3,3,2,332,Loyal Customers
11467,27,3,55.87,4,3,2,432,Loyal Customers
11468,161,3,6959.82,3,3,4,334,Loyal Customers
11469,173,1,25.479999999999997,2,1,1,211,Needs Attention
11470,342,2,4344.0882,1,2,4,124,Almost Lost
11471,257,1,53.99,2,1,2,212,Needs Attention
11472,95,3,8165.82,3,3,4,334,Loyal Customers
11473,241,1,62.980000000000004,2,1,2,212,Needs Attention
11474,125,1,49.97,3,1,1,311,Needs Attention
11475,281,1,69.46,1,1,2,112,Lost Customers
11476,89,1,53.99,3,1,2,312,Needs Attention
11477,126,1,34.99,3,1,1,311,Needs Attention
11478,285,1,53.99,1,1,2,112,Lost Customers
11479,250,3,4970.6096,2,3,4,234,Loyal Customers
11480,188,3,4935.3596,2,3,4,234,Loyal Customers
11481,283,3,4978.048199999999,1,3,4,134,Almost Lost
11482,141,3,8143.029999999999,3,3,4,334,Loyal Customers
11483,194,3,4966.3895999999995,2,3,4,234,Loyal Customers
11484,305,3,4985.3796,1,3,4,134,Almost Lost
11485,139,3,7048.299999999999,3,3,4,334,Loyal Customers
11486,66,1,34.99,4,1,1,411,Recent Customers
11487,45,1,53.99,4,1,2,412,Recent Customers
11488,152,3,8090.33,3,3,4,334,Loyal Customers
11489,123,3,8127.509999999999,3,3,4,334,Loyal Customers
11490,300,1,53.99,1,1,2,112,Lost Customers
11491,144,3,8158.009999999999,3,3,4,334,Loyal Customers
11492,344,2,4404.0782,1,2,4,124,Almost Lost
11493,139,3,6958.799999999999,3,3,4,334,Loyal Customers
11494,121,3,6973.8099999999995,3,3,4,334,Loyal Customers
11495,95,1,13.98,3,1,1,311,Needs Attention
